algo,eval_mode,robust_score,identity_mean,collapse_rate_shock,reward_norm,env_count
td3,stochastic,0.8078945566190407,0.6840009519974215,0.05416666666666667,0.9862935534697266,2
ddpg,stochastic,0.8034106089276634,0.6704446763119486,0.049999999999999996,0.9977735797072776,2
trpo,deterministic,0.7870225008258334,0.7283449711312873,0.06866666666666668,0.7135517780241688,5
ppo,deterministic,0.7540326656503062,0.7282590626004647,0.07249999999999998,0.5016012081336706,5
sac,deterministic,0.7461854946612578,0.7104882378757184,0.06541666666666666,0.5002797588640855,2
td3,deterministic,0.7370041639468163,0.6832110076299882,0.04583333333333334,0.499920731668819,2
dqn,deterministic,0.7307693174774347,0.7100351226862727,0.032499999999999994,0.33333333333323106,3
ddpg,deterministic,0.7307121377261863,0.6713154814521727,0.045000000000000005,0.4999241528499412,2
dqn,stochastic,0.7264817104717597,0.7020879584335332,0.03222222222222222,0.3333333333332204,3
sac,stochastic,0.7264092117751013,0.6213684870852997,0.035833333333333335,0.6360436258545766,2
ppo,stochastic,0.725174847562347,0.6646573949522094,0.06983333333333333,0.5370885355908783,5
trpo,stochastic,0.7178781390582241,0.6546542984635693,0.06983333333333333,0.5251218326884068,5
a2c,deterministic,0.7136512888385167,0.7183137154392562,0.05933333333333333,0.24252496897950565,5
a2c,stochastic,0.7100665097617911,0.6719611892244557,0.057333333333333326,0.38458570458893615,5
